1-1	Heloaooo.	こんにちは。
5-14	Baaanyak syarikat Jepun ada di Malaysia.	マレーシアには多数の日系企業が進出しています。
6-1	Sekarang saya hendak menjawab soalan-soalan lazim yang selalu ditanya oleh pelajar-pelajar sekolah tinggi dan ibu bapa mereka, ya.	ここからは、高校生や保護者の方からよくある質問にお答えしますね。
7-1	Bolehkah saya belajar di luar negeri?	留学はできますか？
7-2	TUFS ada program pertukaran pelajar dengan Universiti Kebangsaan Malaysia, Universiti Brunei Darussalam dan Universiti Nasional Singapura.	東京外大にはマレーシア国民大学、ブルネイ・ダルサラーム大学、シンガポール国立大学との間に交換留学制度があります。
7-3	Pelajar dari jurusan lain pun boleh pergi belajar di universiti-universiti ini.	他専攻の学生もこれらの大学に留学できます。
7-4	Sebaliknya, pelajar jurusan bahasa Melayu juga boleh pergi belajar di universiti pilihan mereka selain daripada ketiga-tiga buah universiti ini.	逆に、マレーシア語専攻の学生が三大学以外の大学に留学することもできます。
8-1	Ramaikah pelajar yang belajar di luar negeri?	留学する学生は多いですか？
8-2	Lebih kurang sepertiga pelajar belajar di luar negeri dalam tempoh yang panjang, selama setahun.	約3分の1の学生が長期間（1年間）留学します。
8-3	Kalau ambil kira tempoh yang pendek, kira-kira separuh daripada pelajar TUFS belajar di luar negeri.	短期も入れると、東京外大の学生の約半数が留学します。
8-4	Selain itu, pada peringkat penghujung tahun satu, hampir semua pelajar mengikuti Program Kembara Ilmu Inap Desa selama tiga minggu di Malaysia dan Singapura.	
また、1年次の終わりにはほとんどの学生がマレーシア・シンガポールでの3週間のホームステイ・プログラムに参加します
9-1	Bolehkah saya belajar bahasa dan wilayah lain?	他の言語や地域を勉強できますか？
9-2	Boleh!	できますよ！
9-3	Sudah tentu boleh.	もちろんできます。
9-4	TUFS menawarkan pelbagai kursus untuk tujuan itu.	東京外大にはそのためのさまざまな授業があります。
10-1	Adakah wajib bagi saya mempelajari bahasa Melayu?	マレー語を勉強しなければいけませんか？
10-2	Sudah tentu anda wajib mempelajari bahasa Melayu.	当然マレー語を勉強しなければいけません。
10-3	Malah, anda perlu berusaha mendapatkan sekian banyak kredit bahasa Melayu untuk menamatkan pengajian anda di TUFS.	というか、卒業するため、かなり多くのマレー語の単位を取得するために努力する必要があります。
11-1	Bolehkah pelajar jurusan lain belajar bahasa Melayu?	他専攻の学生もマレー語を勉強できますか？
11-2	Ya, boleh.	はい、できます。
11-3	Empat daripada lima kursus tahun satu terbuka kepada pelajar dari jurusan lain.	1年生用の5科目のうち4科目が他専攻の学生に開かれています。
11-4	Cuma, biasanya anda belum boleh mengambil kursus-kursus ini pada tahun satu dan tahun dua, disebabkan timbulnya masalah jadual waktu.	ただ、普通、1・2年生の時には、時間割上の問題が生じるため、まだこれらの科目を履修できません。
12-1	Adakah saya wajib menulis tesis tentang Malaysia?	マレーシアについての卒業論文を書かなければなりませんか？
12-2	Hmm... sebenarnya tidak wajib, tetapi sudah tentulah kami menggalakkan pelajar-pelajar membuat kajian tentang Malaysia juga.	ええと、実はそういうわけではないのですが、もちろん学生の皆さんにはマレーシアについての研究をお勧めします。
13-1	Bolehkah pelajar jurusan lain memilih pensyarah Program Bahasa Melayu sebagai penyelia?	他専攻の学生はマレーシア語プログラムの教員を指導教員にできますか？
13-2	Ya, boleh, asalkan bidang pengkhususan pensyarah Program Bahasa Melayu itu sesuai dengan minat dan kajian anda.	はい、マレーシア語プログラムの教員の専門分野が自分の興味や研究内容と合っていさえすれば、できます。
13-3	Anda boleh pilih kami sebagai penyelia, tidak kira bahasa dan wilayah jurusan anda.	自分の専攻言語・地域とは関係なく、我々を指導教員に選ぶことができます。
14-1	Apakah pekerjaan atau bidang pekerjaan yang boleh diceburi oleh graduan Program Bahasa Melayu?	卒業したら、どのような職業や業種に関われますか？。
14-2	Setakat ini pelajar Program Bahasa Melayu TUFS bekerja di pelbagai industri.	今まで、東京外大マレーシア語プログラムの卒業生は様々な業種で働いています。
14-3	Ada di antara mereka dapat bekerja di syarikat yang berkaitan dengan Malaysia juga.	中にはマレーシアに関係する会社で働ける人もいます。
14-4	Untuk maklumat lanjut, sila lihat laman web Program Bahasa Melayu TUFS.	詳細は東京外大マレーシア語プログラムのウェブサイトをご覧ください。
15-1	Baiklah.	さて、
15-2	Itu sahaja setakat ini, sedikit sebanyak maklumat berhubung dengan Program Bahasa Melayu di TUFS daripada saya.	東京外大マレーシア語プログラムに関する私からの情報はここまでです。
15-3	Saya berharap kita boleh belajar bahasa Melayu bersama-sama di TUFS nanti.	東京外大で一緒にマレー語を勉強できるといいですね。
15-4	Hingga jumpa lagi!	またお会いしましょう！
15-5	Dan, salam hormat daripada saya, Bonda Faridah.	敬意を込めて。ファリダお母さんでした。
